timestamp,region,consumption,voltage,frequency
2026-04-18 06:57:25.079717,North,209.8,234.6,50.099
2026-04-18 06:58:25.079717,South,171.7,223.1,49.656
2026-04-18 06:59:25.079717,North,274.75,220.4,50.47
2026-04-18 07:00:25.079717,West,226.05,236.6,49.712
2026-04-18 07:01:25.079717,South,152.19,226.1,50.025
2026-04-18 07:02:25.079717,North,152.06,228.6,49.791
2026-04-18 07:03:25.079717,East,119.23,225.8,49.866
2026-04-18 07:04:25.079717,East,198.85,229.1,50.285
2026-04-18 07:05:25.079717,West,184.05,231.8,49.546
2026-04-18 07:06:25.079717,South,94.52,232.2,49.671
2026-04-18 07:07:25.079717,South,143.96,233.7,49.94
2026-04-18 07:08:25.079717,South,162.5,222.4,49.995
2026-04-18 07:09:25.079717,North,229.35,226.2,50.02
2026-04-18 07:10:25.079717,South,106.75,230.9,49.685
2026-04-18 07:11:25.079717,South,224.31,221.8,49.696
2026-04-18 07:12:25.079717,North,190.28,220.9,49.825
2026-04-18 07:13:25.079717,West,91.29,236.6,49.857
2026-04-18 07:14:25.079717,South,136.81,225.6,50.043
2026-04-18 07:15:25.079717,South,199.45,221.5,50.487
2026-04-18 07:16:25.079717,East,156.9,235.4,49.699
2026-04-18 07:17:25.079717,West,241.86,235.4,49.574
2026-04-18 07:18:25.079717,West,235.88,227.2,49.616
2026-04-18 07:19:25.079717,South,199.88,226.6,49.564
2026-04-18 07:20:25.079717,East,238.53,226.2,49.825
2026-04-18 07:21:25.079717,South,228.75,237.7,49.972
2026-04-18 07:22:25.079717,West,261.37,222.4,50.213
2026-04-18 07:23:25.079717,South,201.68,235.4,49.994
2026-04-18 07:24:25.079717,East,272.28,230.5,49.928
2026-04-18 07:25:25.079717,West,185.22,226.3,50.009
2026-04-18 07:26:25.079717,South,162.06,238.2,49.749
2026-04-18 07:27:25.079717,West,268.67,224.6,49.577
2026-04-18 07:28:25.079717,East,148.9,225.8,49.661
2026-04-18 07:29:25.079717,South,234.92,236.1,49.687
2026-04-18 07:30:25.079717,East,199.73,237.9,50.039
2026-04-18 07:31:25.079717,North,137.88,224.6,49.927
2026-04-18 07:32:25.079717,South,160.34,236.4,50.361
2026-04-18 07:33:25.079717,West,180.31,228.3,49.722
2026-04-18 07:34:25.079717,South,165.92,222.4,49.838
2026-04-18 07:35:25.079717,East,170.32,230.4,50.203
2026-04-18 07:36:25.079717,West,204.24,227.3,50.472
2026-04-18 07:37:25.079717,East,64.87,225.7,49.537
