timestamp,region,consumption,voltage
2026-04-01 00:00:00,East,489.8,229.4
2026-04-01 01:00:00,East,358.99,231.2
2026-04-01 02:00:00,East,368.15,233.1
2026-04-01 03:00:00,East,136.27,233.5
2026-04-01 04:00:00,East,185.04,231.4
2026-04-01 05:00:00,East,172.02,232.8
2026-04-01 06:00:00,East,445.36,220.8
2026-04-01 07:00:00,East,258.95,235.2
2026-04-01 08:00:00,East,,228.3
2026-04-01 09:00:00,East,274.07,221.3
2026-04-01 10:00:00,East,244.27,229.8
2026-04-01 11:00:00,East,248.83,230.6
2026-04-01 12:00:00,East,,232.9
2026-04-01 13:00:00,East,258.47,226.4
2026-04-01 14:00:00,East,153.4,225.7
2026-04-01 15:00:00,East,,221.1
2026-04-01 16:00:00,East,378.02,229.6
2026-04-01 17:00:00,,437.88,236.3
2026-04-01 18:00:00,East,,231.7
2026-04-01 19:00:00,East,252.49,239.5
2026-04-01 20:00:00,East,301.04,239.3
2026-04-01 21:00:00,East,101.51,220.7
2026-04-01 22:00:00,East,403.16,227.9
2026-04-01 23:00:00,,181.64,224.4
2026-04-02 00:00:00,East,385.19,232.9
2026-04-02 01:00:00,East,313.89,222.2
2026-04-02 02:00:00,East,226.07,238.3
2026-04-02 03:00:00,East,450.19,233.1
2026-04-02 04:00:00,East,395.06,224.1
2026-04-02 05:00:00,East,274.36,230.5
