timestamp,region,consumption,voltage
2026-04-01 00:00:00,South,,225.3
2026-04-01 01:00:00,,271.58,221.3
2026-04-01 02:00:00,South,147.53,227.1
2026-04-01 03:00:00,South,,235.6
2026-04-01 04:00:00,South,,230.6
2026-04-01 05:00:00,South,307.23,225.7
2026-04-01 06:00:00,South,382.59,237.1
2026-04-01 07:00:00,South,357.36,
2026-04-01 08:00:00,South,448.84,236.2
2026-04-01 09:00:00,South,237.79,232.1
2026-04-01 10:00:00,South,376.82,227.2
2026-04-01 11:00:00,South,326.92,222.1
2026-04-01 12:00:00,South,,234.3
2026-04-01 13:00:00,South,333.33,236.9
2026-04-01 14:00:00,South,318.94,225.5
2026-04-01 15:00:00,South,272.72,
2026-04-01 16:00:00,South,,221.7
2026-04-01 17:00:00,South,470.44,224.8
2026-04-01 18:00:00,South,228.11,230.0
2026-04-01 19:00:00,South,433.39,228.7
2026-04-01 20:00:00,South,340.08,237.1
2026-04-01 21:00:00,South,410.45,237.2
2026-04-01 22:00:00,South,477.69,221.0
2026-04-01 23:00:00,South,316.28,237.4
2026-04-02 00:00:00,South,431.58,232.9
2026-04-02 01:00:00,South,402.06,227.9
2026-04-02 02:00:00,South,295.59,222.0
2026-04-02 03:00:00,South,113.77,234.2
2026-04-02 04:00:00,South,363.95,
2026-04-02 05:00:00,South,287.09,232.3
